input,output
au small finance bank,aus
aus,aus
au small finance bank limited,aus
au small,aus
au small finance,aus
au,aus
aublr,aus
axis bank,axis
axis,axis
utibr,axis
axisc,axisc
axis corporate,axisc
utibc,axisc
bandhan bank,bdnc
bandhan,bdnc
bdnc,bdnc
bandhan corporate,bdnc
bdblc,bdnc
bdnr,bdnr
bandhan retail,bdnr
bdblr,bdnr
bobc,bobc
bank of baroda,bobc
barbc,bobc
bobr,bobr
barbr,bobr
boi,boi
bank of india,boi
bkidr,boi
bkidc,boi
bom,bom
bank of maharashtra,bom
mahbr,bom
canara,canara
canara bank,canara
cnrbr,canara
central bank of india,cbi
cbi,cbi
cbinr,cbi
csb bank,csb
csb,csb
catholic syrian bank limited,csb
catholic syrian bank,csb
csbkr,csb
city union bank,cub
cub,cub
ciubr,cub
ciubc,cub
dbs,dbs
dbs bank,dbs
digibank,dbs
dbssr,dbs
deutsche,deutsche
deutsche bank,deutsche
deutr,deutsche
dhanlakshmi,dhanlakshmi
dhanlakshmi bank,dhanlakshmi
dlxbr,dhanlakshmi
dlxbc,dhanlakshmi
equitas small finance bank,equitas
equitas,equitas
equitas small finance,equitas
equitas bank,equitas
esfbr,equitas
federal bank,federal
federal,federal
fdrlr,federal
hdfc,hdfc
hdfc bank,hdfc
hdfcr,hdfc
hdfcc,hdfc
icici,icici
icici bank,icici
icicr,icici
icicc,icici
idfc,idfc
idfc bank,idfc
idfc first bank,idfc
idfbr,idfc
indian,indian
indian bank,indian
idibr,indian
indusind,indusind
indusind bank,indusind
indbr,indusind
iob,iob
iob bank,iob
indian overseas bank,iob
indian overseas bank,iob
iobar,iob
iobc,iobc
iob corporate,iobc
indian overseas corporate,iobc
indian overseas bank corporate,iobc
iobac,iobc
jkb,jkb
jammu & kashmir bank,jkb
jammu and kashmir bank,jkb
j&k bank,jkb
jakar,jkb
karnataka,karnatka
karnataka bank,karnatka
karnatka,karnatka
karnatka bank,karnatka
karbr,karnatka
karur,karur
karur bank,karur
karur vysya bank,karur
karur vysya,karur
kvblr,karur
kotak,kotak
kotak bank,kotak
kkbkr,kotak
lvbc,lvbc
lvb corporate,lvbc
lavbc,lvbc
lvbr,lvbr
lvb retail,lvbr
lavbr,lvbr
pnbc,pnbc
punjab national bank corporate,pnbc
pnb,pnbc
punjab national bank,pnbc
punbc,pnbc
pnbr,pnbr
punjab national bank retail,pnbr
punbr,pnbr
rbl,rbl
ratnakar bank,rbl
rbl bank,rbl
ratnr,rbl
rbl corporate,rblc
rblc,rblc
ratnc,rblc
saraswat,saraswat
saraswat bank,saraswat
srcbr,saraswat
sbi,sbi
state bank of india,sbi
sbinr,sbi
sbic,sbic
sbi corporate,sbic
state bank of india corporate,sbic
sbinc,sbic
scb,scb
standard chartered,scb
standard chartered bank,scb
scblr,scb
shivalik,shivalik
shivalik bank,shivalik
smcbr,shivalik
sib,sib
south indian bank,sib
siblr,sib
sur,sur
sur bank,sur
tamcop,tamcop
tamcop bank,tamcop
tammerc,tammerc
tammerc bank,tammerc
uco,uco
uco bank,uco
united commercial bank,uco
ucbar,uco
ucbac,uco
union,union
union bank,union
ubinr,union
ubinc,union
utk,utk
utk bank,utk
utkarsh small finance bank,utk
utkarsh small finance,utk
utksr,utk
yes,yes
yes bank,yes
yesbc,yes
yesbr,yes